product_id,product_name,category,current_stock,target_stock,min_stock,max_stock,avg_monthly_demand,lead_time_days,last_restock_date,seasonality_factor
PROD001,Kabellose Kopfhörer,Electronics,45,100,20,200,85.0,5,2025-11-15,1.2
PROD002,Tischlampe LED,Haushalt,30,80,15,150,65.5,7,2025-11-10,1.0
PROD003,Bürostuhl ergonomisch,Möbel,12,50,5,100,35.0,10,2025-11-05,1.1
PROD004,Maus kabellos,Electronics,67,90,10,180,75.2,3,2025-11-18,1.0
PROD005,Monitor 24 Zoll,Electronics,25,75,8,120,55.8,5,2025-11-12,0.9
PROD006,Notizblock A5,Bürobedarf,120,200,30,400,180.0,2,2025-11-20,1.0
PROD007,Hefter schwarz,Bürobedarf,89,150,25,300,125.5,4,2025-11-14,1.0
PROD008,Bleistift 2B,Bürobedarf,200,300,50,600,280.0,2,2025-11-22,1.0
PROD009,Zirkel komplett,Bürobedarf,15,40,5,80,25.0,8,2025-11-08,1.3
PROD010,Tintenpatrone schwarz,Electronics,56,120,15,250,95.5,6,2025-11-16,1.1
